tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,monh
404,3/1/2020 10:00,3/1/2020 10:07,3206,Hilltop,40.7311689,-74.0575736,3210,Pershing Field,40.74267714,-74.05178863,42423,Subscriber,1990,1,3
160,3/1/2020 10:05,3/1/2020 10:08,3272,Jersey & 3rd,40.72333159,-74.04595256,3203,Hamilton Park,40.72759597,-74.04424731,42466,Subscriber,1973,2,3
261,3/1/2020 10:09,3/1/2020 10:13,3273,Manila & 1st,40.72165072,-74.04288411,3203,Hamilton Park,40.72759597,-74.04424731,42490,Subscriber,1983,1,3
227,3/1/2020 10:15,3/1/2020 10:19,3214,Essex Light Rail,40.7127742,-74.0364857,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42307,Subscriber,1994,2,3
315,3/1/2020 10:16,3/1/2020 10:22,3279,Dixon Mills,40.72163014,-74.04996783,3205,JC Medical Center,40.71653978,-74.04963791,42245,Subscriber,1983,2,3
297,3/1/2020 10:17,3/1/2020 10:22,3279,Dixon Mills,40.72163014,-74.04996783,3205,JC Medical Center,40.71653978,-74.04963791,42625,Subscriber,1971,1,3
274,3/1/2020 10:18,3/1/2020 10:23,3195,Sip Ave,40.7308971,-74.06391263,3677,Glenwood Ave,40.72755147,-74.07106072,42235,Subscriber,1966,1,3
289,3/1/2020 10:24,3/1/2020 10:29,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,42323,Subscriber,1969,0,3
812,3/1/2020 10:27,3/1/2020 10:41,3213,Van Vorst Park,40.71848892,-74.04772663,3213,Van Vorst Park,40.71848892,-74.04772663,42374,Subscriber,1984,1,3
642,3/1/2020 10:29,3/1/2020 10:40,3202,Newport PATH,40.7272235,-74.0337589,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42478,Customer,1969,0,3
103,3/1/2020 10:30,3/1/2020 10:32,3186,Grove St PATH,40.71958612,-74.04311746,3275,Columbus Drive,40.7183552,-74.03891444,42298,Subscriber,1964,2,3
250,3/1/2020 10:30,3/1/2020 10:34,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,42538,Subscriber,1981,1,3
287,3/1/2020 10:33,3/1/2020 10:38,3185,City Hall,40.7177325,-74.043845,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42484,Subscriber,1965,1,3
685,3/1/2020 10:34,3/1/2020 10:45,3268,Lafayette Park,40.71346383,-74.06285852,3694,Jackson Square,40.71113,-74.0789,42440,Subscriber,1997,2,3
422,3/1/2020 10:35,3/1/2020 10:42,3212,Christ Hospital,40.73478582,-74.05044364,3278,Monmouth and 6th,40.72568548,-74.04879034,42299,Subscriber,1984,1,3
239,3/1/2020 10:36,3/1/2020 10:40,3278,Monmouth and 6th,40.72568548,-74.04879034,3273,Manila & 1st,40.72165072,-74.04288411,42428,Subscriber,1988,1,3
235,3/1/2020 10:37,3/1/2020 10:41,3639,Harborside,40.7192517,-74.034234,3639,Harborside,40.7192517,-74.034234,42555,Subscriber,1984,1,3
307,3/1/2020 10:40,3/1/2020 10:45,3275,Columbus Drive,40.7183552,-74.03891444,3202,Newport PATH,40.7272235,-74.0337589,42219,Subscriber,1988,2,3
426,3/1/2020 10:41,3/1/2020 10:49,3202,Newport PATH,40.7272235,-74.0337589,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42338,Subscriber,1992,1,3
